city,average_price,description,plan_type
Madrid,85,"Explore the lively city of Madrid with its vibrant plazas, stunning art collections, and delicious tapas. Visit the Prado Museum and enjoy the lively atmosphere of Puerta del Sol. This plan includes PARTS OF accommodations and transportation, meals not included.",semi inclusive
Madrid,80,"Explore the lively city of Madrid with its vibrant plazas, stunning art collections, and delicious tapas. Visit the Prado Museum and enjoy the lively atmosphere of Puerta del Sol. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Athens,95,"Discover the ancient city of Athens with its iconic landmarks such as the Acropolis and Parthenon. Explore the charming Plaka neighborhood and indulge in Greek cuisine. This plan includes meals, accommodations, and transportation.",all inclusive
Athens,85,"Discover the ancient city of Athens with its iconic landmarks such as the Acropolis and Parthenon. Explore the charming Plaka neighborhood and indulge in Greek cuisine. This plan includes PARTS OF accommodations and transportation, meals not included.",semi inclusive
Athens,80,"Discover the ancient city of Athens with its iconic landmarks such as the Acropolis and Parthenon. Explore the charming Plaka neighborhood and indulge in Greek cuisine. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Edinburgh,95,"Experience the historic city of Edinburgh with its medieval Old Town, stunning castle, and famous Royal Mile. Explore the charming streets and enjoy traditional Scottish fare. This plan includes meals, accommodations, and transportation.",all inclusive
Edinburgh,85,"Experience the historic city of Edinburgh with its medieval Old Town, stunning castle, and famous Royal Mile. Explore the charming streets and enjoy traditional Scottish fare. This plan includes PARTS OF accommodations and transportation, meals not included.",semi inclusive
Edinburgh,80,"Experience the historic city of Edinburgh with its medieval Old Town, stunning castle, and famous Royal Mile. Explore the charming streets and enjoy traditional Scottish fare. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Copenhagen,100,"Discover the vibrant city of Copenhagen with its modern architecture, charming canals, and beautiful parks. Visit the iconic Little Mermaid statue and explore the colorful Nyhavn district. This plan includes meals, accommodations, and transportation.",all inclusive
Copenhagen,90,"Discover the vibrant city of Copenhagen with its modern architecture, charming canals, and beautiful parks. Visit the iconic Little Mermaid statue and explore the colorful Nyhavn district. This plan includes PARTS OF accommodations and transportation, meals not included.",semi inclusive
Copenhagen,85,"Discover the vibrant city of Copenhagen with its modern architecture, charming canals, and beautiful parks. Visit the iconic Little Mermaid statue and explore the colorful Nyhavn district. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Zurich,95,"Experience the elegance of Zurich with its stunning lake, upscale shopping, and vibrant cultural scene. Explore the charming Old Town and indulge in Swiss chocolate. This plan includes meals, accommodations, and transportation.",all inclusive
Zurich,85,"Experience the elegance of Zurich with its stunning lake, upscale shopping, and vibrant cultural scene. Explore the charming Old Town and indulge in Swiss chocolate. This plan includes PARTS OF accommodations and transportation, meals not included.",semi inclusive
Zurich,80,"Experience the elegance of Zurich with its stunning lake, upscale shopping, and vibrant cultural scene. Explore the charming Old Town and indulge in Swiss chocolate. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Oslo,95,"Explore the vibrant city of Oslo with its beautiful fjord, modern architecture, and rich Viking history. Visit the stunning Opera House and enjoy the scenic views from the Holmenkollen Ski Jump. This plan includes meals, accommodations, and transportation.",all inclusive
Oslo,85,"Explore the vibrant city of Oslo with its beautiful fjord, modern architecture, and rich Viking history. Visit the stunning Opera House and enjoy the scenic views from the Holmenkollen Ski Jump. This plan includes PARTS OF accommodations and transportation, meals not included.",semi inclusive
Oslo,80,"Explore the vibrant city of Oslo with its beautiful fjord, modern architecture, and rich Viking history. Visit the stunning Opera House and enjoy the scenic views from the Holmenkollen Ski Jump. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Bergen,90,"Discover the picturesque city of Bergen with its colorful wooden houses, stunning fjords, and vibrant fish market. Take a ride on the Fløibanen funicular and enjoy panoramic views. This plan includes meals, accommodations, and transportation.",all inclusive
Bergen,80,"Discover the picturesque city of Bergen with its colorful wooden houses, stunning fjords, and vibrant fish market. Take a ride on the Fløibanen funicular and enjoy panoramic views. This plan includes accommodations and transportation, meals not included.",semi inclusive
Bergen,75,"Discover the picturesque city of Bergen with its colorful wooden houses, stunning fjords, and vibrant fish market. Take a ride on the Fløibanen funicular and enjoy panoramic views. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Seville,95,"Experience the lively city of Seville with its stunning architecture, vibrant flamenco performances, and delicious tapas. Visit the Royal Alcázar and explore the charming Santa Cruz neighborhood. This plan includes meals, accommodations, and transportation.",all inclusive
Seville,85,"Experience the lively city of Seville with its stunning architecture, vibrant flamenco performances, and delicious tapas. Visit the Royal Alcázar and explore the charming Santa Cruz neighborhood. This plan includes accommodations and transportation, meals not included.",semi inclusive
Seville,80,"Experience the lively city of Seville with its stunning architecture, vibrant flamenco performances, and delicious tapas. Visit the Royal Alcázar and explore the charming Santa Cruz neighborhood. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Helsinki,90,"Explore the vibrant city of Helsinki with its modern design, beautiful parks, and fascinating Finnish culture. Visit the iconic Helsinki Cathedral and enjoy a sauna experience. This plan includes meals, accommodations, and transportation.",all inclusive
Helsinki,80,"Explore the vibrant city of Helsinki with its modern design, beautiful parks, and fascinating Finnish culture. Visit the iconic Helsinki Cathedral and enjoy a sauna experience. This plan includes accommodations and transportation, meals not included.",semi inclusive
Helsinki,75,"Explore the vibrant city of Helsinki with its modern design, beautiful parks, and fascinating Finnish culture. Visit the iconic Helsinki Cathedral and enjoy a sauna experience. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Dubrovnik,95,"Discover the stunning city of Dubrovnik with its ancient city walls, picturesque Adriatic Sea views, and Game of Thrones filming locations. Explore the charming Old Town and indulge in delicious seafood. This plan includes meals, accommodations, and transportation.",all inclusive
Dubrovnik,85,"Discover the stunning city of Dubrovnik with its ancient city walls, picturesque Adriatic Sea views, and Game of Thrones filming locations. Explore the charming Old Town and indulge in delicious seafood. This plan includes accommodations and transportation, meals not included.",semi inclusive
Dubrovnik,80,"Discover the stunning city of Dubrovnik with its ancient city walls, picturesque Adriatic Sea views, and Game of Thrones filming locations. Explore the charming Old Town and indulge in delicious seafood. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
