city,average_price,description,plan_type
Bergen,83,"Experience Bergen's scenic beauty, with its colorful wooden houses, majestic fjords, and vibrant cultural scene. Meals not included.",semi inclusive
Bergen,81,"Experience Bergen's scenic beauty, with its colorful wooden houses, majestic fjords, and vibrant cultural scene. Only accommodations and transportation provided.","only ""transport and hotel"""
Seville,92,"Immerse yourself in Seville's rich history, flamenco music, and stunning Moorish architecture.",all inclusive
Seville,85,"Immerse yourself in Seville's rich history, flamenco music, and stunning Moorish architecture. Meals not included.",semi inclusive
Seville,82,"Immerse yourself in Seville's rich history, flamenco music, and stunning Moorish architecture. Only accommodations and transportation provided.","only ""transport and hotel"""
Helsinki,92,"Discover Helsinki's modern design, beautiful waterfront, and vibrant cultural scene.",all inclusive
Helsinki,82,"Discover Helsinki's modern design, beautiful waterfront, and vibrant cultural scene. Meals not included.",semi inclusive
Helsinki,78,"Discover Helsinki's modern design, beautiful waterfront, and vibrant cultural scene. Only accommodations and transportation provided.","only ""transport and hotel"""
Dubrovnik,90,"Experience Dubrovnik's stunning coastal views, medieval city walls, and charming old town.",all inclusive
Dubrovnik,86,"Experience Dubrovnik's stunning coastal views, medieval city walls, and charming old town. Meals not included.",semi inclusive
Dubrovnik,82,"Experience Dubrovnik's stunning coastal views, medieval city walls, and charming old town. Only accommodations and transportation provided.","only ""transport and hotel"""
